name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20181222A,29.5031258,65.7167542,348.73651,0.0003,3.73
FRB20181222B,90.04,38.55,619.2478,0.0075,7.45
FRB20181222C,131.05,68.33,1104.892,0.026,35.38
FRB20181222D,188.2,56.16,1417.11,0.14,60.78
FRB20181222E,50.64,86.97,327.9797,0.0048,24.72
FRB20181222E,50.64,86.97,327.9797,0.0048,24.72
FRB20181223A,29.5031258,65.7167542,349.7096,0.008,3.73
FRB20181223A,29.5031258,65.7167542,349.7096,0.008,3.73
FRB20181223B,174.89,21.59,565.655,0.019,72.74
FRB20181223C,181.05,27.58,112.5118,0.0035,79.51
FRB20181224A,355.11,44.56,310.20644,0.0004,-16.5
FRB20181224B,45.36,46.14,781.0087,0.0099,-11.03
FRB20181224C,115.29,60.28,596.325,0.056,29.4
FRB20181224D,182.45,54.85,690.196,0.019,61.26
FRB20181224E,239.32,7.32,581.8537,0.0041,41.77
FRB20181224E,239.32,7.32,581.8537,0.0041,41.77
FRB20181225A,29.5031258,65.7167542,349.619,0.043,3.73
FRB20181225B,36.77,88.2,299.2875,0.0049,25.48
FRB20181226C,349.05,44.94,409.0184,0.0065,-14.73
FRB20181226A,29.5031258,65.7167542,349.0107,0.0014,3.73
FRB20181226A,29.5031258,65.7167542,349.0107,0.0014,3.73
FRB20181226D,120.22,22.16,385.3778,0.0025,24.7
FRB20181226B,182.66,12.43,287.0364,0.0017,72.47
FRB20181226B,182.66,12.43,287.0364,0.0017,72.47
FRB20181226B,182.66,12.43,287.0364,0.0017,72.47
FRB20181226E,303.56,73.64,308.762,0.015,20.42
FRB20181227A,31.79,78.38,791.2134,0.0062,16.09
FRB20181228A,7.26,10.22,748.6791,0.0089,-52.26
FRB20181228B,250.43,63.85,568.6506,0.0023,38.29
FRB20181228C,265.19,54.36,510.7,0.014,31.87
FRB20181229A,137.18,42.01,955.5735,0.0036,42.69
FRB20181229B,238.37,19.78,389.047,0.097,47.83
FRB20181230A,346.69,83.37,769.611,0.015,21.14
FRB20181230B,20.83,79.7,1137.36,0.047,16.92
FRB20181230C,245.75,50.52,1037.194,0.004,43.9
FRB20181230D,255.3,50.51,223.9665,0.002,37.86
FRB20181230E,113.26,86.85,1041.713,0.042,27.65
FRB20181231A,29.71,20.96,1376.7324,0.0016,-39.22
FRB20181231B,128.77,55.99,197.1697,0.0017,36.55
FRB20181231C,197.09,69.18,556.086,0.0038,47.87
FRB20190101A,171.01,27.99,854.609,0.019,70.64
FRB20190101B,307.77,29.89,1323.9056,0.0045,-5.61
FRB20190102A,9.26,26.72,699.1727,0.0064,-36.04
FRB20190102B,21.66,21.39,367.1642,0.0037,-40.74
FRB20190103B,93.57,19.73,541.129,0.061,1.07
FRB20190103C,104.19,11.07,1349.133,0.012,6.19
FRB20190103A,190.53,65.13,364.5627,0.0049,51.97
FRB20190103D,221.84,59.91,1913.5509,0.0086,51.71
FRB20190103E,262.89,45.84,736.245,0.015,32.61
FRB20190104A,70.5,35.59,549.4329,0.0029,-7.01
FRB20190104A,70.5,35.59,549.4329,0.0029,-7.01
FRB20190104B,234.72,-6.25,530.137,0.012,37.54
FRB20190105A,266.3,63.82,383.551,0.035,31.41
FRB20190106A,22.19,46.12,340.061,0.015,-16.26
FRB20190106B,335.63,46.13,316.5941,0.0018,-9.34
